,tweets_VERB
115,"Pensando bem... ...a propósito, tem foco do mosquito da Dengue, Zica, etc, na avenida canal? https://t.co/h4l8apMOWW"
116,Gostei de um vídeo @YouTube de @soldierjogos https://t.co/EhbEFR7OKu Somos muito Mosquito Zika - Dying Light: The Following DETONADO
117,"Dizem que o #ZikaVirus pega através do beijo, mas quem vai beijar o mosquito?!?! #brincadeira #beijonomosquito #zueira"
118,"Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma, viu !"
119,Saiba o que é boato e o que é verdade sobre o vírus Zika: Doença é transmitida pelo mosquito Aedes aegypti e O... https://t.co/TRnImHkN6p
120,"Precisamos redobrar nossa atenção quanto ao mosquito que trasmite a Zika, Dengue e Chikungunya.  A infecção por... https://t.co/hubywd1ggu"
121,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/NHDiTtpczI #Zika: Água parada pra combater mosquito??? (#Pirula 125)
122,"Saiba o que é boato e o que é verdade sobre o zika vírus: O mosquito Aedes aegypti, responsável pela transmiss... https://t.co/Ss2Q7VSBZF"
123,@buterabugada @escolhaumpara Até o professor q tava falando da Zika disse q o mosquito gosta de sangue 'loiro do olho azul' AH VSF
124,"Disseram que o Zika Vírus pode ser transmitido pelo beijo...  Mas quem é ke vai beijar um mosquito? É cada uma, viu   😐  &lt;))&gt; _/ \_"
125,acordei cheio de picadas de mosquito sera que peguei a famigerada zika
126,"Dizem que  Zica virus também é transmitido por beijo. Mas real talk, quem iria beijar  um mosquito?"
127,Confira 10 dicas para combater o mosquito da dengue e da zika no campo https://t.co/WQHgTuIVQM https://t.co/y2DHQX7yAJ
128,"Há 35 anos o mosquito Aedes aegypti, transmissor de vírus que causa dengue, zika e chicungunha, desafia os governos… https://t.co/SZmIzdNxjs"
129,"Será que o mosquito do BR é diferente do mosquito colombiano? 6300 mulheres grávidas que tiveram zika,os seus bebês não tiveram microcefalia"
130,"Sabe qual nome do Brasil lá fora, pelos estrangeiros??? Zika! Nos somos o país do mosquito...."
131,Disseram que o Zika Vírus pode ser transmitido pelo beijo. Mas quem vai beijar um mosquito? É cada uma viu!
132,Sai Zica !!!! O mosquito também
133,Vejo um mosquito ja saio como  correndo né vai que é zika
134,matei 1mosquito do zika voces estao seguros agora
135,"@janaina_bolada @silasdesouza777 Mas esse mosquito é foda,transmite Zika,Micro e chikungunya.Daqui a pouca vai transmitir a Voz do Brasil."
136,pegar zika. MEU AMOR SE TIVER UM MOSQUITO CARREGANDO ZIKA NA SALA AO LADO CEDO OU TARDE ELE VAI ENTRAR pelo amor de deus eu to irritada
137,Precisa se de 10 M por semana para examinar sua área é evitar foco do mosquito transmissor da zika e da dengue https://t.co/sbX1rpjohg
138,Precisamos alertar também os turistas sobre as doenças transmitidas pelo mosquito #AedesAegypti https://t.co/X04X4iJA2c
139,obtém foi tanta picada de musquito na serra q acho que devo ter adquirido as seguintes doenças: * dengue * zica * febre amarela * chicocunha
140,tem um mosquito chato me perseguindo certeza q é zica
141,vejo um mosquito ai na minha cabeça já vem dengue chikungunya zika morte
142,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/mdi0fdVW5Y O MOSQUITO DA ZIKA ME PEGOU
143,"Imagina q louco o mosquito te pica, vc pega zika e ja lança aquele corte do jaca"
144,Sera que se o mosquito transmissor do zika virus me picar eu fico zika ???????????
145,"Olha o que pode ser pior que o Zica Vírus, Dengue e Chicungunha transmitido pelo Mosquito Aedes Aegypti kkkkk... https://t.co/fVXQb27Rot"
146,acho que fui picado pelo mosquito da zika
147,morrendo de medo desse mosquito zika..Ta doido ;xxxx
148,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/mYqLkZx7LR O MOSQUITO DA ZIKA ME PEGOU
149,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/9K33mR2xGM MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
150,"Tomem cuidado com o zika vírus, ele é transmitido pelo mosquito da dengue"
151,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/kfUK09KcWg O MOSQUITO DA ZIKA ME PEGOU
152,Gostei de um vídeo @YouTube https://t.co/kBUxODK95w toda a verdade sobre a farça do zika virus transmitido pelo mosquito da
153,Gostei de um vídeo @YouTube https://t.co/Vl5rXdG7cu VERDADE SOBRE A FARSA DO ZIKA VÍRUS TRANSMITIDO PELO MOSQUITO DA DENGUE
154,Hj eu to mais zika q o virus do mosquito
