,tweets_VBG
110,*tava a tirar uma foto* *aparecem mosquitos* 'Ai o zika' *ele começa a correr*  AHAHAHAHAHAHA FODA-SE
111,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
112,@douglasjferreir @tweettorcidas esse bicho zica mais do q o mosquito zica
113,"pq a doença do mosquito chama zika cara, acho tao ble"
114,"Cadê a Citronela? Leia na https://t.co/kGtI6uBxAo: Mosquito da dengue e zika é 'inimigo nº 1 da saúde',diz ministro. https://t.co/fos9pO8pdP"
115,CADE A LIMPEZA NAS ESCOLAS DE SÃO LEOPOLDO ?? QUE TÃO FAZENDO DURMINDO EM CIAM DO MOSQUITO ZICA CHINCUNGUNHA ??... https://t.co/2oEHy95k3X
116,"'Com a atual propagação do mosquito da dengue e do zika vírus, é de extrema importância que cada um dos cidadãos de… https://t.co/owgVBB6jV8"
117,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/t4E4Oml1pY https://t.co/qgy5D2q0rb"
118,ZIKA A agência reguladora americana de medicamentos.  Zika: EUA aceita testes com mosquitos geneticamente modificados!!!!
119,deus me libre num posso ve um mosquito ja penso q eh o zika
120,Do que adianta fazer um tinder de zika vírus se o mosquito VOA????
121,Como a tecnologia pode ajudar a combater o mosquito do zika vírus - Isso é Exatas https://t.co/7xsfce74K5
122,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/to8ZdopEjS
123,Com a fome de 3.400.258 mosquitos zika
124,"se a zika for transmitida pelo mosquito comum, acho que finalmente o brasil vai ser exterminado"
125,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
126,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
127,Cover up? Zika Mosquitoes Same as GM Mosquitoes ... - https://t.co/aKeGblTT0m - #ArmageddonScenarios https://t.co/73ZzHfeY2Q
128,"Estou a louca do mosquito,tudo acho que é Zika."
129,"Consulte a cartilha sobre o vírus Zika. Se o mosquito pode matar, ele não pode nascer!... https://t.co/Mb4IHbcI13"
130,Passei a tarde numa rede no meio do mato cheio de mosquito querendo me passar zika dengue chico cunha mas não conseguiram pois sou vencedor
131,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/SQJ5gfOMWF https://t.co/OE1FxfhnaY"
132,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
133,Se a Zika bombar no RS por causa de um mosquito que nasceu na minha casa porque estou enchendo os balde com água da chuva eu tô nem aí.
134,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
135,"Conheça a MOSQUITOEIRA   Nessa época de DENGUE, ZIKA essa 'engenhoca' pode ajudar a combater o mosquito  e SALVAR... https://t.co/MdH7CdLFXC"
136,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/HUv7D2s1z8
137,Começo a crer que funkeiros são os progenitores dos mosquitos que transmitem o zika vírus
138,Ajude a eliminar o mosquito #AedesAegypti. Essa luta é de todos nós! #ZikaZero https://t.co/1HQbpvERbp
139,Let me go inside before a mosquito gives me freaking zika 😩😩😩
140,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
