,tweets_VBN
141,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
142,Cover up? Zika Mosquitoes Same as GM Mosquitoes ... - https://t.co/aKeGblTT0m - #ArmageddonScenarios https://t.co/73ZzHfeY2Q
143,Retweeted Carolina Bahia (@Carolina_Bahia):  Atenção: combate ao mosquito que transmite a dengue e o zika depende... https://t.co/KSPOBRbObR
144,"Estou a louca do mosquito,tudo acho que é Zika."
145,"Consulte a cartilha sobre o vírus Zika. Se o mosquito pode matar, ele não pode nascer!... https://t.co/Mb4IHbcI13"
146,Passei a tarde numa rede no meio do mato cheio de mosquito querendo me passar zika dengue chico cunha mas não conseguiram pois sou vencedor
147,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/SQJ5gfOMWF https://t.co/OE1FxfhnaY"
148,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
149,Retweeted Superinteressante (@revistasuper):  Como o mosquito da dengue (e do zika) fez São Paulo se tornar uma... https://t.co/fEeLfcI8PM
150,Se a Zika bombar no RS por causa de um mosquito que nasceu na minha casa porque estou enchendo os balde com água da chuva eu tô nem aí.
151,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
152,"Conheça a MOSQUITOEIRA   Nessa época de DENGUE, ZIKA essa 'engenhoca' pode ajudar a combater o mosquito  e SALVAR... https://t.co/MdH7CdLFXC"
153,Retweeted Fábio O. Ribeiro (@FabioORibeiro):  A zika foi soltar mosquitos geneticamente modificados no Brasil?... https://t.co/ijFvMNDNTn
154,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/HUv7D2s1z8
155,Começo a crer que funkeiros são os progenitores dos mosquitos que transmitem o zika vírus
156,Ajude a eliminar o mosquito #AedesAegypti. Essa luta é de todos nós! #ZikaZero https://t.co/1HQbpvERbp
157,Let me go inside before a mosquito gives me freaking zika 😩😩😩
158,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
159,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/vADU3BQk2Q
160,"com a quantidade de picada de mosquito que eu to pelo corpo, é bem provável que eu tenha dengue, zica ou chicu"
161,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
162,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
163,abro a janela p ventar entra chuva mosquito zika lula dilma testemunha de jeova tris teza al quaeda paz amor drogas mas vento que é bom nada
164,daqui a pouco eu pego zika c esses mosquito
165,"e a 'zika' não é contagiosa, mas é transmissível pelo mosquito aedes aegypti.  temos o trabalhador do ano, pessoal."
166,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/FdJxaNn70p"
167,do jeito q esses gringos agem parece que qnd eles pisarem no brasil vao ser atacado por 500 mosquitos vao pegar zika dengue e chikungunya
168,Vaiar a Hope Solo por se proteger do zika vírus é similar a vaiar alguém que passa protetor solar.
169,"Retweeted José E. Maldonado (@pollomaldonado):  Bring Zika-Fighting GMO Mosquitos to Puerto Rico, Says... https://t.co/0hJ8c8yh5x"
