,tweets_pronouns
139,qualquer mosquito me morde já penso que é o da dengue ou zika.
140,"Zika vírus: 'Cidades não têm como enfrentar mosquito', diz secretário de Saúde: 'Nossos planos foram retardado... https://t.co/qLV0CQJfoi"
141,"Então seguinte, meninas e rapaziada... O 'zica' é transmitido pelo mosquito da dengue, que é a fêmea do nosso... https://t.co/JGFRByrBMy"
142,"Com essa história de Zika vírus, é mosquito eu estou matando. Mas confesso que meu coração aperta ao matar aqueles pretinhos do chuveiro."
143,"zika é um mosquito, agr eu entendi pq os manos falam 'q zika mano'"
144,"Se o mosquito sempre carregou esse vírus da Zika pq só esse ano a doença se manifestou,e não nos anos anteriores?"
145,Ou eu peguei a tal da zica ou os mosquitos souberam aproveitar
146,ESSE MOSQUITO ZIKA É O MESMO PERNILONGO QUE VIVE NOS SUGANDO? PQ TA PARECENDO MUITO RS
147,"Tem gente na minha sala com zica, que medo desse mosquito"
148,Se depender da minha mae ngm aqui pega zica ela mata os mosquito tudo e se mosca passa doença ngm pega tbm
149,Puta medo de qualquer mosquito que passa aqui no S tiroteio!Vai que é o #Zica #virus eu em!!! #SextaDetremuraSdv
150,'Meu amigo secreto é tão filha da puta que se fosse vírus dava microcefalia em filhote de mosquito Zika'
151,Só eu que estou indignada com o fato de que um mosquito agora dita moda também?? Preto fora de opção por causa do ZICA vírus. #chocada
152,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/SxT5bo8HE8 O MOSQUITO DA ZIKA ME PEGOU
153,Eu sei que é maldade mas toda vez q eu escuto zika vírus eu imagino um mosquito portando Oakley
154,"Eu to falando que esse monte de mosquito,zica,dengue etc é tudo praga..."
155,Mano eu não acho que todo mundo vai morrer com esse tal de mosquito zika vírus antes disso tem várias pragas prometidas
156,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/tE64c66o7D O MOSQUITO DA ZIKA ME PEGOU
157,Dei um gritão aqui em casa e matei um mosquito zika. De zika já basta a minha vida.
158,Umas marnhinhas vermelhas de mosquito e vem minha mãe dizer q tô com zika Euem kkkkkk
159,Eu to com medo desse zika vírus ainda mais que eu sou alérgica a mosquito
160,Aí fala de zika vírus e eu já imagino um mosquito usando um juliet jsjsjsj
161,eu fico imaginando o mosquito de picando e vc virando um rolezeiro zika da balada tlg hsuaheuhea por isso o nome virus zika
162,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/fYmjeA0ZAw O MOSQUITO DA ZIKA ME PEGOU
163,"Mano quando esses mosquitos me morde eu só penso q pode ser chikungunya ou zika, sério msm"
164,Acabei de matar um mosquito da zika na minha perna TO C MEDO
165,fui mexer minha perna saiu 3 mosquitos daqui senhor vou pegar zika
166,"Só eu que, quando alguém do lado fala 'um mosquito me picou' que eu já fico 👀sai do meu lado zika vírus não respira meu ar vou morrer👀"
167,tinha um mosquito zika no meu cachorro eu to surtando
168,twitter tá tão parado q to vendo uns mosquito da dengue zika virus voando aqui na minha tl
169,eu to num momento da minha vida q mato todo mosquito q eu vejo pela frente pensando q é um zika to com medo talvez má fazer o que né ?
170,O mosquito Leva a culpa o governo leva a grana. A maior farsa dos últimos tempo.... zika vírus é da puta da mãe... https://t.co/Rs6B6sZiPm
171,"@o_antagonista Pergunta: quem infectou zika nos mosquitos, que sempre existiram, para eles espalharem nos humanos?"
172,"Tanto mosquito me picando, tudo zika"
173,Sou tão foda que o Mosquito da Dengue me picou quem pegou Zika Vírus foi ele ! 😎✌🏾️😂
174,um mosquito pousou no braço do meu irmão dai ele me grita 'tiraaaaa vírus zika vírus zika' kkkkjjkjh
175,"@pdro_felipe Nem me fala em virose, que já me vem em mente a do Zika Vírus. Do jeito que a ufma está infestada de mosquitos..."
176,Que isso o mosquito não me mordeu mas a zika tá comigo vai tomar no cu azar do crl
177,Qualquer mosquito pra mim é zica vírus agora sjhdgdhdslddhhddklddj fdse
178,n posso ver um mosquito q eu já acho que é o zika virus to ficando loca
179,@EricHorrorStory ontem eu passei a tarde assim mano.. MAS EU FALEI PRA MAMÃE QUE NAQUELE SITIO TAVA SÓ MOSQUITO ZIKA.
180,"O Brasil precisa de nossa ajuda no combate ao Zika Virus, vamos compartilhar.  Como se Proteger do Zika Vírus https://t.co/BEdF600Xxs"
181,"mano, meu irmão tá com zica e eu fico até com medo de esse mosquito me picar também shzhjz"
182,#AedesAegypti - Não podemos dar nenhuma folga para o mosquito da #dengue e da #zika nem nos finais de semana! https://t.co/hpNigHPStg
183,toda a vez que entro nos sites do M.Saúde tem esses mosquitos voando devido a campanha conta Zika e afins
184,"Precisamos redobrar nossa atenção quanto ao mosquito que trasmite a Zika, Dengue e Chikungunya.  A infecção por... https://t.co/hubywd1ggu"
185,"Um mosquito me mordeu 3 vezes, se ele for o zika meu dia nao vai mais ser favorável 🤔"
186,qualquer mosquito que me pica eu ja acho que é mosquito com zika virus meu deus vou morrer mae me ajUDA
187,um mosquito parou em mim acho q era zika virus
188,acabei de matar um mosquito que parecia do zika virus meu deus as vezes eu penso que to carregando esse país nas costas
189,"69- tava doidona no carnaval e meu amigo chegando firme 'olha o mosquito da zica' ja pegou um parceiro, era p ter pego mais"
190,Eu vejo mosquito e já penso em zika
191,"Minha mãe reclamando q a janela ta fechada, kirida se abrir a janela 71416 mosquitos ai pega zika vírus pega chikungunya"
192,"Sabe qual nome do Brasil lá fora, pelos estrangeiros??? Zika! Nos somos o país do mosquito...."
193,Zika pra mim não é o mosquito não. É a minha vida
194,pegar zika. MEU AMOR SE TIVER UM MOSQUITO CARREGANDO ZIKA NA SALA AO LADO CEDO OU TARDE ELE VAI ENTRAR pelo amor de deus eu to irritada
195,"Nunca peguei dengue, zika ou chikungunya. Por isso eu fico feliz que nem  mosquito quer me chupar."
196,"Zika vírus eu já imagino o mosquito chegando com um óculos espelhado, boné e nike shocks."
197,tem um mosquito chato me perseguindo certeza q é zica
198,"Eu to com 17 picadas de mosquito, se eu não pegar dengue/zica/ chico cunha agora eu não pego nunca mais"
199,"Sério... eu preciso de tratamento contra zica (não aquela do mosquito)... Eu já sequei Djoko, GSW, lutadores diversos... não acerto UMA!"
200,"O Zika vírus, transmitido pelo mosquito da dengue, já chegou ao nosso Estado! Vamos juntos evitar essa tragédia! https://t.co/KfdmQXy50a"
201,Essa tal doença Zika vírus me faz imaginar um mosquito dizendo 'é zika memo fih'
202,vejo um mosquito ai na minha cabeça já vem dengue chikungunya zika morte
203,~ Tá dando tudo tão errado...  Que se o mosquito me picar eu que vou passar ZIKA pra ele... 😂 Tá foda tio 😧
204,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/mdi0fdVW5Y O MOSQUITO DA ZIKA ME PEGOU
205,Eu tenho tanto medo de pegar zika que quando um mosquito pousa em mim eu começa a me debater pra ele sair #askbelieber
206,Tanto mosquito me picou q acho q já tô com zika vírus e dengue
207,Sera que se o mosquito transmissor do zika virus me picar eu fico zika ???????????
208,"Eu que já sou toda alérgica a mosquito, Tô com medo desse novo aí que transmite zika. Xô, zica!"
209,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/mYqLkZx7LR O MOSQUITO DA ZIKA ME PEGOU
210,@psychochun EU MESMA COM AS PICADAS DE MOSQUITO de vdd eu contei semana passada deu 47 NUMA PERNA SÓ nao sei como ainda nao peguei zika
211,Gostei de um vídeo @YouTube de @bobyyfera https://t.co/kfUK09KcWg O MOSQUITO DA ZIKA ME PEGOU
212,"Pior é que vc nunca sabe, se é dengo, chicugunha, a zica, mosquito ou a muriçoca .-. Me erra praga!"
213,Hj eu to mais zika q o virus do mosquito
214,"to com um medo danado de pegar dengue, zika e todas as doenças que esse mosquito pode trazer porque eu não sei se eu ia aguentar não"
215,ontem brunna tava falando de zika e só agr q eu fui entender que zika é um mosquito KKKKKKKKKKKKKKK
216,o mosquito do zika virus me picou ja to usando bone fitão camisa de time q ngm conhece calça da adidas e nike de mola
217,"Espero que nenhum desses mosquitos seja da dengue, imagina se eu pego o zika vírus."
218,"tava pensando hj sobre esse surto de microencefalia e zica vírus, e eu D U V I D O q a picada do mosquito seja a causa"
219,Esse mosquito zica kkkkkkk ta aqui na minha casa meu
220,Falando em zika Hj tava tendo uma palestra dos mosquito ai o mlk falo: o zikingunya Eu ri apesar de n ter graça
221,"qualquer mosquito q aparece eu já tenho medo q é o zika, sério"
222,Depois dessa doença da zika kkk qualquer mosquito que me ferroa kkk é um mini infarto 😂😂😂😂😆
223,"esse mosquito ja ta ai desde seila quando e todo verão é isso, a unica novidade desse foi o zika, previsões assim me dão sono"
224,toda vez que eu vejo um mosquito eu falo que eh o zika vírus que horror kkkkkkk
225,'zika virus é transmitido por beijo' ai eu fico me perguntando qm q vai quere beija mosquito
226,Falando https://t.co/Oyycq5pQ0Xçar eu to cm tanta picada de mosquito espero q nenhum seja dengue zica chicungunha veneno de cobra barbeiro
227,@CarolFerrreira_ agora toda vez que levo uma picada de mosquito eu penso: se for zika eu vo fica MTU BRABA
228,"o mosquito da dengue me cuspiu, q porra, é Zika na certa #BaladaComDetremuraSdv"
229,"acabei de matar um mosquito aqui e parecia ser zika vírus, sei la as vezes eu sinto que to carregando esse país nas costas."
230,os mosquito não para de me pica chega não aguento mais viver perigosamente com medo do zika
231,@laregcosta foi tipo assim eu tava de Boa ai o mosquito veio ai me viu me 'mordeu' ai agr eu to com Zika
232,"@carolinalima__ esses mosquitos tem q entender q eu n to numa boa fase p encarar uma dengue, zika e as 30 doenças q esse inferno transmite"
233,"Acabei de ver o mosquito da dengue, Zika, krl4 pousado na minha perna 👍"
234,"o zika vírus pode ser transmitido pela picada do mosquito, sexo e agora até pelo beijo, ou seja, se esse mosquito não me picar tô salvo"
235,"um mosquito me picou, matei ele e queimei, vai que é zika"
236,uns mosquito de chuva em cima de mim ja penso q eh zika virus
237,Toda hora que tem um mosquito pra mim eu já olho pra ele com o pavor de ser Zica Vírus https://t.co/ovaFoLQrf9
238,Foi Zika mesmo! To todo me coçando! Que saco! Mezovos pra esse mosquito...
239,"Tinha uns 50 mosquitos no meu corpo, zica amanhã é certo eu ter"
240,@Estadao Ela é a mãe Zika que espalhou vírus do mosquito e tbm da corrupção juntamente com o Lula o chikungunya
241,'zika virus pode pegar por saliva' Me pergunto quem é doido de beijar mosquito
242,@dilmabr e a mosquita?E o vírus transmitido pelo ovo? E o mosquito Zika? Na sabe nem o que fala! Triste demais... Vc não me representa
243,"Agora quando um mosquito me pega passa logo um telejornal na cabeça! É febre chikungunya, zika vírus, dengue! Socorr#BaladaComDetremuraSdv"
244,qualquer mosquito que me morde eu penso que é o tal de '''''' ZIKA VIRUS '''''' #askbelieber
245,@FALLTAOBRIEN queria compartilhar meu odio de estar sendo abusado por mosquitos parente da zika
246,Td vez q eu vejo um mosquito eu já penso q o zika vírus
247,"Mano os mosquito tão me abusando aqui, quero ve se eu pego uma Zika virús, dai a culpa vai ser da minha mãe"
248,"Mosquitos me mordendo, espero que n seja o Zica! ZICA VAI LÁ 🎼 rs"
249,zika virus ta me deixando na paranoia de matar qualquer mosquito que eu vejo
250,"Porra, acordei agr c os mosquitos me amassandoooo toma no cu seus zika 😠😠"
251,Agr qualquer misquito que me pica já acho que é o zika vírus
252,Qualquer mais qualquer mosquito que me pique eu já sinto os sintomas da zika
253,O pessoal da sala da minha irmã vai fazer camiseta de terceiro ano com um mosquito desenhado e escrever 'esse terceirão é zika'
254,"Minha mãe me veio com uma de que matou um mosquito com Zika vírus, mãe, pelo amor de deus, tu tem um laboratório em casa pra saber?"
255,Ficam falando q o bjo transmite zica virus mas quem é q vai querer beijar um mosquito.. eu heiin #SabadoNoClubeSDV
256,"se chegar um mosquito perto de mim, vou matar achando que é zika"
257,Qualquer mosquito que me pique eu ja acho que é zica e ja to passando mal e pedindo pra me interna #SabadoNoClubeSDV
258,@livinginsalt márcio se um mosquito picar alguém com aids e depois me picar eu posso pegar aids e zika também?
259,Mosquito da dengue me picou acho que vo pega zika
260,"Meu pêsames ao mosquito da zika, ontem ele me picou e recebi hoje a notícia q ele veio a falecer de zika"
261,"Cheguei aqui na minha vo e já to me coçando por causa dos mosquitos,sai p la zica"
262,Ja pode um mosquito passar zika pra mim. Preciso morrer com urgência
263,"entrou um mosquito aqui no meu quarto, parece o mosquito do zica virus"
264,Olha olha eu n tô crendo. Um o mosquito da Zica poderia la picar Mtheus
265,agora todo mosquito que aparece eu fico falando chico cunha e zika KKKK o pior eh que eu nao consigo parar
266,Vejo um mosquito perto de mim e já acho que é o zika.
267,"Af, qualquer mosquito que me picar agora, tô achando que é o Zika..."
268,pra minha mãe agr todo mosquito é o do zika vírus  DIRECTIONERS ON FIRE #Vote1DirectionUK #KCA
269,Se o mosquito que me pico for zika to ferrada
270,"o mosquito acaba de me fazer dar um tapa em mia própria cara e não consegui acertá-lo  dengue, zika e chikungunya têm que acabar"
271,"Gente, por favor... Só sofro. Sou: Ronaldinho, Zika Vírus, Aedes, Mosquito, Mosquitinha... Meu nome é THAMYRES! SOU NAMORADA DELE, NÃO ELE!"
272,"No site do cp2 apareceu uns mosquitos, quase dei um soco no note... dps me liguei q era uma campanha contra o zika KKKKKKKKKKKKKKKK"
273,"Tô aqui de boa vendo o snap, quando olho pro meu pé, vejo um mosquito da zika furtando meu sangue.   Que safado!"
274,quando vejo um mosquito perto de mim penso que eh zika
275,Ta certo meu raciocínio: Seca = rios/lagoas secas = menos sapos = mais mosquitos = mais zica/dengue? Raciocínio... https://t.co/Elzx28lSk4
276,"Qualquer mosquito que me morde, eu ja fico nervoso, com medo de pegar uma zika ou dengue ou 'chico cunha'"
277,Um mosquito picou minhas duas perna ai que medo de ser o zika vírus meu kkkkkk
278,"Eu espero não estar com Zika, do nem confiança pra esse mosquito"
