,tweets_VBN
122,Ya me picaron tantos mosquitos que seguro tengo dengue zika y chikunguya
123,Retweeted MasPorRD (@MasPorRD):  Importante información para prevenir el #ZikaVirus y proteger la #salud de... https://t.co/UmhpDZ0Yzx
124,"Retweeted BBC Mundo (@bbcmundo):  Así es el mosquito que causa el zika, el dengue y la chikungunya... https://t.co/qQ3rSsFHx7"
125,"Retweeted BBC Mundo (@bbcmundo):  Así es el mosquito que causa el zika, el dengue y la chikungunya... https://t.co/CrdbC5XfKr"
126,"Retweeted W Radio Colombia (@WRadioColombia):  Así es el mosquito que causa el zika, el dengue y la chikungunya... https://t.co/Elu3p7pZPI"
127,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
128,"Retweeted Jhonas Urbina (@jhonasurbina):  @tecnobios Así es el mosquito 'Aedes Aegypti', causante del zika, el... https://t.co/gAu4UsUWvL"
129,Check out this site: http://t.co/ihTnERKDNU. El Virus Zika es una amenaza real para los dominicanos. Cuidado con el mosquito Aedes Aegypti.
130,Viajará a regiones tropicales este verano? Aquí algunos consejos útiles pa' protegerse contra los mosquitos y #Zika. https://t.co/jfjhdngG3C
131,Ya me jodi si los mosquitos tienen zika en la uni
132,"Retweeted IMSS (@Tu_IMSS):  ¡Sin criaderos no hay mosquitos! ¡Lava, tapa, voltea y tira! #Zika #Dengue y... https://t.co/AnyzwHFPJW"
133,Someterán a referéndum uso de mosquito transgénico para combatir el vector del Zika https://t.co/SNL8rwCPL9
134,Solo a mi se me ocurre calcar el mosquito del zika y que me quede como una cucaracha 😈😂
135,cuando me pica un mosquito me recorro toda la casa buscandolo a ver si no tiene manchas blancas y es el dengue o zica porque TRAUMADA
136,Retweeted El Universal (@El_Universal_Mx):  Hallan zika en glándulas salivales de mosquito común. Indicio que... https://t.co/PI3QqrH4qg
137,"Retweeted Telefe Noticias (@telefenoticias):  #Video La 'Cumbia del mosquito' para enfrentar al dengue, zika y... https://t.co/GI2c9OEhY5"
138,"Si a mi esposa la pica el mosquito del zika, me sale un hijo zikario?"
