,filtered_tweets_pt
118,"Após deixar água parada, Ninão atraiu o mosquito da dengue que acabou o infectando com zika vírus. Uma mutação o... https://t.co/TSU9gRN3KE"
119,se o mosquito da zica tomasse um chá de pica ia ser mais feliz n ia sair matando os parça
120,'@got7fatos: 108. Mark diz que Jackson usa suas habilidades de esgrima para matar insetos.' Vem matar os mosquito do zika aqui jackson
121,“Combater o zika vírus tentando apenas erradicar o mosquito não funcionará” https://t.co/rWttk1f1cR
122,"Deve ser os mosquito do zika, socorro"
123,Até que ponto seria boa ideia matar um mosquito portador do vírus Zika à chapada?
124,"A @ONU_es   Q/ REDUZIR  A POPULAÇÃO MUNDIAL  A ZIKA VEIO VIA VACINAS,  O MOSQUITO SÓ  PROPAGOU  C/ AGENTE INFECTANTE https://t.co/Zg05HIDRUG"
125,''Marina and The Diamonds pode cancelar show no Brasil devido ao Zika Virus'' GENTE VAMO FAZER RAQUETAÇO NESSE MOSQUITO POR FAVOR
126,"Cara, todo mosquito que me pica meu ** pisca... TO COM UM MEDO DO CARALHO DE PEGAR ESSES ZIKA VIRUS E CHIGUNGUYA DA VIDA..."
127,antes eu matava os mosquito tudo hoje qualquer um q me encosta ja acho q eh o zika
128,Meu wpp vai criar mosquito da dengue zika vírus o caralho a 4 de tão parado q ta
129,"É mosquito da dengue, não pior é zica vírus"
130,Af caralho meu primo ta com zika e ele dorme no msm quarto q eu. Certo q os mosquitos  vão picar ele é me picar
131,'zika virus e transmitido por beijo'  quem q vai beija um mosquito irmao  #BlocoDetremuraSdv #BlocoDetremuraSdv
132,"Aqui tb mandam, mosquito do zika virus https://t.co/0VxdYbQLYC"
133,China prepara um exército de mosquitos para eliminar o vírus Zika - https://t.co/GjUPc3MhpA
134,"Zika, dengue e chicungunha: três vírus e um mosquito https://t.co/Tyqd7cqiJK via @JornalExtra"
135,"Bom dia a todos! Lixo fora do lixo é criadouro do mosquito transmissor da dengue, Zika e chikungunya https://t.co/xs6USjU1vv"
136,Esses mosquito projeto de Zika estão me deixando louco
137,Turista gringo veio passar o carnaval no Brasil fantasiado de mosquito zika #BlocoDetremuraSdv https://t.co/Z6mthAMPeZ
138,tem uma caralhada de  mosquitos trasmissores de zika virus e dengue a me rodear #BlocoDetremuraSdv
139,esse mosquito 'zica virus' ta metendo o terror
140,estou com a mão cheia de picada de mosquito e as atuais guias abertas são as seguintes https://t.co/GhRruWzmbC https://t.co/FyOGeierQy
141,"Esse bagui de zika ta mexendo comigo man, qualquer mosquito que pousa ou chega perto de mim eu do um tapao, to ficando cheio de marca 😅"
142,"Uai, já não fizeram isso em Piracicaba este ano? We Have the Technology to Destroy All Zika Mosquitoes https://t.co/yJFUEaeMq1"
143,o mosquito do zika vírus picou o bruno de luca e morreu
144,os mosquito do maranhão toma whey protein de sangue com zika fica uns monstro
145,Os mosquitos da zika e o calor que ta num daa
146,Zika Vírus: um suposto caso de mosquito transgênico? https://t.co/GUYrgDzJtB
147,"Tem um mosquito zumbindo aqui, estou com medo de ser mais uma vítima da zika"
148,Cada picada de mosquito q eu recebo me pergunto se peguei a zika
149,@carlos_fdrs @o_antagonista quisera todos os nossos problemas fossem por causa de um mosquito. A pior zica é a que 'governa' nosso país.
150,@giustoso  coidado  os mosquito  da zika
151,Vários mosquitos zika du bagulho
152,"Por cada mosquito que me pica me traumo pensando si tengo sida , zica o dengue 😷"
153,"Mosquito comendo até a alma,  tenho medo dessa zica ai, pprt.."
154,Gente relaxa que os mosquito da zika da dengue muriçoca DO MUNDO TODO tão tudo aqui em casa
155,Um mosquito me picou e agora será q essa porra tem zika vírus
156,El Salvador Introduces Mosquito-Eating Fish to Zika Fight https://t.co/7pH7cVKitb via @BreitbartNews
157,Ônibus da embaixador com panfletos sobre Zika e dengue... E lotado de mosquitos.. (y)
158,"Sabe o q acho curioso? De repente o mosquito da dengue não transmite mais dengue, só o zica. Em todos os lugares ao mesmo tempo! 😱😱😱"
159,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/XjYdqfFn4a #Zika: Água parada pra combater mosquito??? (#Pirula 125)
160,Tecnologia mineira é capaz de detectar presença do zika vírus em mosquito transmissor https://t.co/oW17tko9so
161,"Uma nova arma contra o mosquito Aedes aegypti, transmissor da dengue, zika vírus e febre da… https://t.co/cXEXU8I8Df https://t.co/EAB0b8Gx3b"
162,"Depois descobri que era um alerta sobre o zika vírus, nossa que campanha maravilhosa de aparecer mosquito na minha tela"
163,"' Zika vírus, um mosquito não é maior que um país inteiro!'   Mano... É sim. Vocês não tão ligado. 😨"
164,"Atenção o mosquito q transmiti o zika não é prioridade brasileira, tem no mundo todo"
165,“Combater o zika vírus tentando apenas erradicar o mosquito não funcionará”  https://t.co/0gslkdAndn
166,"'@andygalo13: As enchentes, os mosquitos que causa a Dengue, Zica...ocorre pela falta de Educação do povo Brasileiro.' Yo no soy."
167,@marisa_lobo Esse negócio de zika está estranho pra mim. Será que vem do mosquito mesmo?
